                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                 1.8066,                 0.5853,                 1.3472,                0.92965,                0.84392,                0.91761,                 0.4028,                 1.9238,                0.55214,                 1.4151,               0.007228,               0.007228,               0.007228
                     86,                 1.7974,                0.57679,                 1.3397,                0.93004,                 0.8502,                0.92503,                0.40603,                 1.9367,                0.54388,                 1.4193,               0.007195,               0.007195,               0.007195
                     87,                 1.8072,                0.57661,                 1.3463,                0.93024,                 0.8528,                0.92659,                0.40461,                 1.9197,                0.53982,                 1.4083,               0.007162,               0.007162,               0.007162
                     88,                 1.8074,                0.57686,                 1.3471,                0.93481,                0.85294,                0.92593,                 0.4064,                 1.9277,                0.54045,                  1.409,               0.007129,               0.007129,               0.007129
                     89,                 1.7929,                0.56422,                 1.3378,                0.92569,                0.86047,                0.91999,                0.40811,                 1.9329,                0.54044,                 1.4151,               0.007096,               0.007096,               0.007096
                     90,                 1.7895,                0.57795,                 1.3307,                0.92098,                0.85486,                0.92275,                0.40126,                 1.9519,                0.54568,                 1.4206,               0.007063,               0.007063,               0.007063
                     91,                 1.7813,                0.55892,                 1.3347,                0.92635,                0.86061,                0.92539,                0.40762,                 1.9315,                0.53804,                 1.4147,                0.00703,                0.00703,                0.00703
                     92,                 1.7893,                0.56859,                 1.3249,                0.92721,                0.85599,                0.92302,                0.40357,                 1.9405,                0.53577,                  1.415,               0.006997,               0.006997,               0.006997
                     93,                 1.7942,                0.56211,                  1.343,                 0.9282,                0.86315,                 0.9244,                0.40269,                 1.9419,                 0.5339,                 1.4164,               0.006964,               0.006964,               0.006964
                     94,                 1.7781,                 0.5535,                 1.3285,                0.92557,                0.86807,                0.92902,                0.40731,                 1.9357,                0.53708,                 1.4163,               0.006931,               0.006931,               0.006931
                     95,                 1.7823,                 0.5673,                 1.3278,                 0.9241,                0.87126,                0.92557,                0.40766,                 1.9365,                0.53093,                 1.4134,               0.006898,               0.006898,               0.006898
                     96,                 1.7895,                0.56292,                 1.3336,                0.92324,                0.87146,                0.92176,                0.40731,                 1.9547,                0.53593,                 1.4206,               0.006865,               0.006865,               0.006865
                     97,                 1.7852,                0.56261,                 1.3386,                0.92625,                0.86986,                0.92419,                  0.407,                 1.9425,                0.53224,                 1.4175,               0.006832,               0.006832,               0.006832
                     98,                 1.7651,                0.55911,                 1.3204,                0.92743,                0.86986,                0.92784,                0.40911,                 1.9438,                0.53825,                 1.4135,               0.006799,               0.006799,               0.006799
                     99,                 1.7786,                0.55902,                 1.3347,                0.92865,                0.86726,                0.92544,                0.40604,                 1.9412,                  0.535,                 1.4153,               0.006766,               0.006766,               0.006766
                    100,                  1.768,                0.55213,                  1.327,                0.92684,                 0.8725,                0.92711,                0.41523,                 1.9144,                 0.5278,                 1.4021,               0.006733,               0.006733,               0.006733
                    101,                 1.7687,                0.55111,                  1.322,                0.92746,                0.86913,                0.92846,                 0.4141,                 1.9176,                0.52659,                 1.4052,                 0.0067,                 0.0067,                 0.0067
                    102,                  1.766,                 0.5477,                  1.322,                0.93025,                0.87082,                0.92894,                0.41299,                 1.9214,                0.52551,                 1.4063,               0.006667,               0.006667,               0.006667
                    103,                 1.7755,                0.54949,                 1.3264,                 0.9278,                0.86941,                 0.9282,                0.41407,                 1.9228,                0.52766,                 1.4077,               0.006634,               0.006634,               0.006634
                    104,                 1.7722,                0.54338,                 1.3314,                0.93017,                0.86977,                0.93082,                0.41481,                 1.9126,                0.52428,                 1.4015,               0.006601,               0.006601,               0.006601
                    105,                 1.7587,                0.54691,                 1.3154,                0.93116,                0.87111,                0.92915,                 0.4166,                 1.9144,                0.52426,                 1.4004,               0.006568,               0.006568,               0.006568
                    106,                 1.7695,                0.55796,                 1.3221,                0.93146,                0.86986,                 0.9328,                0.41676,                 1.9238,                0.53222,                 1.4052,               0.006535,               0.006535,               0.006535
                    107,                 1.7721,                0.54466,                 1.3304,                0.93096,                0.86842,                0.93216,                0.41777,                 1.9216,                0.52807,                 1.4039,               0.006502,               0.006502,               0.006502
                    108,                  1.766,                0.53604,                 1.3249,                 0.9286,                0.86668,                0.92933,                0.41757,                 1.9151,                0.52337,                 1.4038,               0.006469,               0.006469,               0.006469
                    109,                 1.7708,                0.54508,                 1.3371,                0.92641,                0.87209,                0.93174,                0.42378,                 1.9075,                 0.5218,                 1.3987,               0.006436,               0.006436,               0.006436
                    110,                 1.7543,                0.54224,                 1.3173,                0.93511,                0.86896,                0.93373,                0.41684,                 1.9125,                0.51687,                 1.3982,               0.006403,               0.006403,               0.006403
                    111,                  1.769,                0.54053,                 1.3245,                0.92795,                0.88059,                0.93552,                0.41952,                 1.9171,                0.51599,                  1.401,                0.00637,                0.00637,                0.00637
                    112,                 1.7569,                0.54277,                 1.3225,                 0.9291,                0.88014,                0.93312,                  0.418,                 1.9151,                0.52081,                 1.3994,               0.006337,               0.006337,               0.006337
                    113,                   1.75,                0.53926,                 1.3184,                0.93092,                0.87997,                0.93177,                 0.4172,                 1.9168,                0.51584,                 1.4013,               0.006304,               0.006304,               0.006304
                    114,                 1.7618,                0.54157,                 1.3173,                 0.9392,                0.87701,                0.93451,                  0.415,                 1.9259,                 0.5145,                 1.4056,               0.006271,               0.006271,               0.006271
                    115,                 1.7696,                0.54058,                 1.3371,                 0.9375,                0.87925,                 0.9357,                0.41527,                 1.9224,                0.51334,                  1.404,               0.006238,               0.006238,               0.006238
                    116,                 1.7383,                0.53141,                 1.3058,                0.93615,                0.87211,                0.93376,                0.41849,                  1.915,                0.51194,                  1.401,               0.006205,               0.006205,               0.006205
                    117,                 1.7413,                0.53325,                 1.3159,                0.93568,                0.87185,                0.93375,                0.41886,                 1.9131,                0.50794,                 1.3998,               0.006172,               0.006172,               0.006172
                    118,                 1.7494,                0.53494,                  1.311,                0.92662,                0.88098,                0.93096,                0.41437,                 1.9222,                0.50843,                 1.4043,               0.006139,               0.006139,               0.006139
                    119,                 1.7463,                0.53552,                  1.313,                0.93664,                0.87935,                0.93387,                0.41628,                 1.9296,                0.51095,                 1.4067,               0.006106,               0.006106,               0.006106
                    120,                 1.7492,                0.53816,                  1.319,                0.93532,                0.88372,                0.93323,                0.41895,                   1.92,                0.51143,                 1.4025,               0.006073,               0.006073,               0.006073
                    121,                  1.751,                0.52031,                 1.3122,                0.93223,                0.88596,                0.93665,                0.41632,                 1.9249,                0.51319,                 1.4031,                0.00604,                0.00604,                0.00604
                    122,                 1.7432,                0.53296,                 1.3073,                0.93341,                0.88462,                0.93418,                0.41463,                 1.9252,                0.51375,                 1.4039,               0.006007,               0.006007,               0.006007
                    123,                 1.7406,                0.52641,                 1.3136,                0.93609,                0.88439,                0.93679,                0.41589,                 1.9157,                0.51161,                 1.3996,               0.005974,               0.005974,               0.005974
                    124,                 1.7523,                0.53299,                 1.3165,                 0.9338,                0.87691,                0.93458,                0.41665,                 1.9215,                0.51388,                  1.402,               0.005941,               0.005941,               0.005941
                    125,                 1.7371,                0.52778,                 1.3009,                0.94066,                0.87906,                0.93774,                0.41559,                 1.9258,                0.51333,                 1.4035,               0.005908,               0.005908,               0.005908
